LABELS
SEPARATOR COMMA
DATA
NODE_ID,LABEL,CLASS
A0A847F7V9,Sandaracinaceae bacterium
G3NCG9,Gasterosteus aculeatus aculeatus (three-spined stickleback)
A0A087HQN4,Arabis alpina (Alpine rock-cress)
A0A087SPC8,Auxenochlorella protothecoides (Green microalga) (Chlorella protothecoides)
A0A098TJ81,Neosynechococcus sphagnicola sy1
A0A0A1U116,Entamoeba invadens IP1
A0A0A1U8U3,Entamoeba invadens IP1
A0A0A1UBZ1,Entamoeba invadens IP1
A0A0D2MPJ9,Monoraphidium neglectum
A0A166AZX0,Fibularhizoctonia sp. CBS 109695
A0A178WI13,Arabidopsis thaliana (Mouse-ear cress)
A0A1C5AN32,Micromonospora matsumotoense
A0A1H7GBI3,Rhodococcus maanshanensis
A0A1J3E988,Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens)
A0A1V5VA95,bacterium ADurb.Bin236
A0A1Y1I0H6,Klebsormidium nitens (Green alga) (Ulothrix nitens)
A0A2E5FGA7,bacterium
A0A2E7UQ44,Deltaproteobacteria bacterium
A0A2E8PXP8,Spirochaetaceae bacterium
A0A2P6VNG5,Micractinium conductrix
A0A2S5ME06,Hyphomicrobium sp
A0A2T1C5C3,Merismopedia glauca CCAP 1448/3
A0A2T4VAL1,Vitiosangium sp. (strain GDMCC 1.1324)
A0A2V0PDX6,Raphidocelis subcapitata
A0A2V7TWY7,Acidobacteriota bacterium
A0A2W1JT14,Acaryochloris thomasi RCC1774
A0A496XR95,Campylobacterota bacterium
A0A544YQP1,Microbispora hainanensis
A0A6C1RHG0,Spirochaetaceae bacterium
A0A6C1RHL3,Spirochaetaceae bacterium
A0A6C1RKB7,Spirochaetaceae bacterium
A0A7C0YUZ7,Pseudomonadota bacterium
A0A7C3IQG2,Gracilinema caldarium
A0A7C3KF49,Oscillatoriales cyanobacterium SpSt-418
A0A7I8VMZ9,Dimorphilus gyrociliatus
A0A7J7PVS7,Scenedesmus sp. NREL 46B-D3
A0A7R9ACE0,Darwinula stevensoni
A0A7S2V1I2,Fibrocapsa japonica
A0A7X0I8H5,Sphaerisporangium rubeum
A0A815JAY9,Adineta steineri
A0A842TMB9,Promethearchaeota archaeon
A8MQQ6,Arabidopsis thaliana (Mouse-ear cress)
F8EY36,Gracilinema caldarium (strain ATCC 51460 / DSM 7334 / H1) (Treponema caldarium)
A0A2D4NV30,Micrurus surinamensis (Surinam coral snake)
A0A3Q3AV33,Kryptolebias marmoratus (Mangrove killifish) (Rivulus marmoratus)
A0A080ZTN3,Phytophthora nicotianae P1976
A0A090M959,Ostreococcus tauri
A0A0B6ZL32,Arion vulgaris
A0A165LZD5,Pelodictyon luteolum
A0A1E7YXE7,Acidithiobacillus caldus
A0A1J6IVF0,Nicotiana attenuata (Coyote tobacco)
A0A1Y1IFV9,Klebsormidium nitens (Green alga) (Ulothrix nitens)
A0A2E2XCG1,Cellvibrionaceae bacterium
A0A2E7M8Z2,Deltaproteobacteria bacterium
A0A2G8KFA2,Stichopus japonicus (Sea cucumber)
A0A2I0D8L6,Psychroflexus sp. MES1-P1E
A0A2M9LYD8,Streptomyces sp. CB02959
A0A328AYV9,Phenylobacterium hankyongense
A0A359F7A7,Acidimicrobiaceae bacterium
A0A370GI71,Nocardia mexicana
A0A378TGK3,Mycolicibacterium tokaiense
A0A397XYW7,Brassica campestris (Field mustard)
A0A3M2L8I6,Nocardia stercoris
A0A3N4HBE2,Cyclobacteriaceae bacterium YHN15
A0A3N5P060,Acidobacteriota bacterium
A0A4R0QNQ7,Chlorobium sp. N1
A0A5E8B4V2,Magnusiomyces paraingens
A0A5M8ICN2,Chlorobium phaeovibrioides
A0A654ECI1,Arabidopsis thaliana (Mouse-ear cress)
A0A699ZU64,Haematococcus lacustris (Green alga) (Haematococcus pluvialis)
A0A6M0LN80,Prosthecochloris sp
A0A6M8BKB8,Thermoleptolyngbya sichuanensis A183
A0A7J7QMW8,Scenedesmus sp. NREL 46B-D3
A0A7J8PU09,Gossypium raimondii (Peruvian cotton) (Gossypium klotzschianum subsp. raimondii)
A0A7K0C521,Actinomadura macrotermitis
A0A7M3NMJ5,Streptomyces sp. uw30
A0A7R8WFY7,Cyprideis torosa
A0A7R9UY12,Diacronema lutheri (Unicellular marine alga) (Monochrysis lutheri)
